session_id,seed,enemies_defeated,turns_survived,first_ko_side,first_ko_turn,first_ko_time,hero_casualties,deadlock_count,end_reason
1,3235774465,1,26,enemy,6,17.753,Huun|Kojonn|Falie|Runa,0,party_defeated
2,3235774466,2,44,enemy,8,22.643,Huun|Runa|Kojonn|Falie,0,party_defeated
3,3235774467,2,36,enemy,9,25.04,Runa|Kojonn|Falie|Huun,0,party_defeated
4,3235774468,2,29,enemy,5,15.443,Falie|Kojonn|Runa|Huun,0,party_defeated
5,3235774469,1,26,hero,6,17.909,Huun|Falie|Kojonn|Runa,0,party_defeated
6,3235774470,0,22,hero,6,17.781,Huun|Kojonn|Falie|Runa,0,party_defeated
